RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
1,Aaron Brooks,Min,PG,33,2,1.4,2.8,63.7,0,2,0,2,1,1,0,0.667,0.515,2,0,0,0,0,0,0,0,0,,
2,Aaron Jackson,Hou,F,31,7,2.4,5.1,17.8,0.291,2,0.5,2,1,2,0,0.5,0.512,0.7,0.6,13.1,0.3,17.2,0,0,0.29,8.4,,
3,Abdel Nader,Bos,SF,24,11,3,6.3,25.5,0.107,4,0.5,11,0.455,4,0,0.333,0.358,1.1,0.3,5,0.3,14.3,0.09,0.09,0.18,6.2,,
4,Al Horford,Bos,C,31,19,35.7,74.4,17.8,0.119,75,0.827,161,0.596,43,0.349,0.581,0.631,15.7,8.3,12.8,3.3,14.9,1,1.16,1.68,8.5,112.7,102.7
5,Alec Burks,Uta,SG,26,9,13.4,27.9,28.9,0.103,15,0.867,43,0.488,20,0.45,0.548,0.589,9.1,2.7,11.2,1.9,25.9,0.44,0.11,0.89,10.7,110,101.1
6,Alex Abrines,Okc,SG,24,6,18.3,38.2,8.5,0.046,2,1,7,0.286,13,0.462,0.55,0.575,4,2.5,7.5,0.3,2.4,0.83,0.33,0.17,3.2,119.8,102
7,Al-Farouq Aminu,Por,SF,27,4,32.7,68.2,19.7,0.102,2,1,22,0.636,30,0.433,0.644,0.652,17.3,9,15,1.3,6.2,1,0.5,1.5,7.2,126.2,112.7
8,Amir Johnson,Phi,PF,30,8,11.7,24.4,11.9,0.115,5,0.8,21,0.524,0,0,0.524,0.56,3.3,2.9,13.2,1.1,13.3,0.25,0.13,0.38,7.5,122.7,100.4
9,Andre Iguodala,Gol,SF,34,15,26.8,55.7,12.5,0.123,34,0.706,48,0.583,37,0.378,0.576,0.61,8.1,4.5,9.4,2.7,13.1,1.4,0.47,0.93,6.9,108.2,98.8
10,Andrew Wiggins,Min,SF,22,5,32.8,68.4,23.2,0.105,20,0.6,47,0.489,21,0.333,0.493,0.514,15.8,5.2,9.1,2,9.2,0.4,0.4,1.8,6.7,98.9,110.3
11,Ante Zizic,Cle,PF,21,8,2.9,5.9,28.7,0.137,6,0.5,10,0.5,0,0,0.5,0.514,1.6,0.8,14.9,0.1,7.3,0,0.13,0.25,7,,
12,Anthony Davis,Nor,PF,24,9,39.8,82.9,30.9,0.09,64,0.828,183,0.546,22,0.273,0.532,0.581,30.1,13.7,18.5,1.7,7.2,2,2.44,2.56,8.9,108.5,98.6
13,Aron Baynes,Bos,C,31,19,20.5,42.7,12.1,0.076,18,0.722,66,0.515,23,0.478,0.567,0.588,6,6.3,16.9,1,7.3,0.21,0.63,0.42,6.5,120.9,97.7
14,Bam Adebayo,Mia,PF,20,5,15.4,32.1,13.4,0.086,14,0.214,14,0.5,1,0,0.467,0.402,3.4,4,14.5,0,0,0,0.4,0.4,0,90.3,109.1
15,Ben Simmons,Phi,PG,21,10,36.9,77,22.4,0.226,58,0.707,124,0.492,1,0,0.488,0.541,16.3,9.4,13.7,7.7,30.8,1.7,0.8,4.4,11.5,97.9,97.4
16,Bojan Bogdanovic,Ind,SF,28,7,34,70.9,18.5,0.132,10,0.6,36,0.417,45,0.378,0.5,0.509,12.4,3.4,5.7,1.9,7.7,0.86,0,1.86,5.1,92.7,99.5
17,Bradley Beal,Was,SG,24,6,35.9,74.8,27.3,0.113,23,0.87,63,0.444,45,0.467,0.551,0.588,23.2,3.3,5.3,2.8,13.2,1.17,0.33,2.5,6.7,107.6,108.2
18,Brandon Jennings,Mil,PG,28,1,4.9,10.2,35.9,0.258,2,1,0,0,2,0,0,0.347,2,0,0,0,0,0,0,1,0,54.4,121.3
19,Brandon Paul,San,SG,26,1,2.5,5.2,0,,0,0,0,0,0,0,,,0,1,22.2,1,49.6,0,0,0,0,,
20,Bryn Forbes,San,SG,24,4,13.6,28.2,16.6,0,7,0.714,8,0.375,9,0.222,0.353,0.423,4.3,0.8,3.1,0.5,5.2,0,0,0,3.5,95.9,114.7
21,Caleb Swanigan,Por,PF,20,1,7.9,16.5,26.4,0.21,4,0.75,1,0,1,0,0,0.399,3,2,13.8,1,15.5,0,0,1,9.2,79.6,106.2
